일련번호,나이,학력,성별,정신건강,전문직,개발공부기간,연차,국적,연봉,보유기술개수
DEV6942,<35,Undergraduate,Man,No,Dev,15,4,Canada,75631,16
DEV6943,>35,Master,Man,No,Dev,7,2,United States of America,120000,19
DEV6944,>35,Undergraduate,Man,Yes,Dev,36,26,United States of America,165497,9
DEV6945,>35,Undergraduate,Man,Yes,Dev,14,11,United States of America,116000,9
DEV6946,<35,Master,Man,No,Dev,7,3,United States of America,105000,8
DEV6947,>35,Undergraduate,Man,No,Dev,18,11,United States of America,130000,18
DEV6948,>35,Undergraduate,Man,No,Dev,16,10,United Kingdom of Great Britain and Northern Ireland,168037,12
DEV6949,<35,Undergraduate,Man,No,NotDev,6,3,United States of America,62000,1
DEV6950,<35,Undergraduate,Man,No,Dev,9,6,United Kingdom of Great Britain and Northern Ireland,86604,19
DEV6951,>35,Undergraduate,Man,Yes,Dev,35,29,United States of America,158000,18
DEV6952,<35,Undergraduate,Man,No,NotDev,6,2,United States of America,120000,8
DEV6953,<35,Undergraduate,Man,No,Dev,6,1,Germany,47563,11
DEV6954,>35,Undergraduate,Man,Yes,Dev,44,33,United States of America,200000,5
DEV6955,<35,Other,Man,Yes,Dev,13,8,United States of America,150000,18
DEV6956,<35,Undergraduate,Man,No,Dev,6,4,United States of America,154000,12
DEV6957,<35,Undergraduate,Man,No,Dev,9,4,Canada,64287,23
DEV6958,>35,Other,Man,No,Dev,25,15,United States of America,102500,12
DEV6959,<35,Undergraduate,Man,No,Dev,8,6,United States of America,160000,2
DEV6960,>35,Other,Man,No,Dev,25,23,United States of America,110000,7
DEV6961,>35,Undergraduate,Man,No,Dev,38,36,United States of America,135000,18
DEV6962,>35,Undergraduate,NonBinary,Yes,NotDev,20,12,United States of America,110000,13
DEV6963,>35,Undergraduate,Man,No,Dev,34,30,United States of America,190000,45
DEV6964,>35,Undergraduate,Man,No,Dev,20,18,United States of America,140000,16
DEV6965,>35,Undergraduate,Man,Yes,Dev,8,4,United States of America,140000,25
DEV6966,<35,Master,Man,Yes,Dev,10,4,United Kingdom of Great Britain and Northern Ireland,77556,9
DEV6967,>35,Master,Man,No,Dev,7,7,India,34904,12
DEV6968,>35,Undergraduate,Man,No,Dev,34,23,United Kingdom of Great Britain and Northern Ireland,90482,12
DEV6969,>35,Undergraduate,Man,No,Dev,30,20,Canada,175000,13
DEV6970,>35,Master,Man,Yes,Dev,37,15,United States of America,168500,18
DEV6971,<35,Undergraduate,Man,No,Dev,10,2,United States of America,85000,9
DEV6972,<35,Master,Man,No,Dev,5,5,Germany,75669,4
DEV6973,>35,PhD,Man,No,NotDev,30,20,United Kingdom of Great Britain and Northern Ireland,127967,11
DEV6974,>35,PhD,Man,Yes,Dev,26,18,United States of America,200000,19
DEV6975,>35,PhD,Man,Yes,Dev,24,10,United States of America,165000,13
DEV6976,>35,Undergraduate,Man,No,Dev,30,25,United States of America,210000,7
DEV6977,>35,Other,Man,No,Dev,5,2,United States of America,80000,9
DEV6978,<35,Undergraduate,Man,No,Dev,4,3,India,5026,6
DEV6979,<35,Undergraduate,Man,No,Dev,9,4,United States of America,203000,9
DEV6980,<35,Other,Man,No,NotDev,20,8,Germany,86478,19
DEV6981,<35,Other,Man,No,Dev,10,2,United States of America,10000,11
DEV6982,<35,Undergraduate,Woman,Yes,Dev,6,4,United States of America,94000,16
DEV6983,<35,Undergraduate,Man,No,Dev,3,1,United States of America,96000,18
DEV6984,<35,Undergraduate,Man,No,Dev,8,3,United States of America,67000,18
DEV6985,<35,Undergraduate,Man,No,Dev,8,4,United States of America,88000,7
DEV6986,>35,Undergraduate,Man,No,Dev,24,20,Canada,68824,25
DEV6987,<35,Undergraduate,Man,No,Dev,7,7,United Kingdom of Great Britain and Northern Ireland,68856,13
DEV6988,>35,Other,Man,No,NotDev,20,10,United States of America,3108,8
DEV6989,<35,Undergraduate,Man,No,Dev,19,7,United States of America,130000,16
DEV6990,>35,Undergraduate,Man,Yes,Dev,30,19,United Kingdom of Great Britain and Northern Ireland,77550,13
DEV6991,<35,Undergraduate,Man,No,Dev,9,2,United States of America,80000,11
DEV6992,<35,Undergraduate,Man,Yes,Dev,3,2,United States of America,74970,10
DEV6993,>35,Master,Woman,Yes,Dev,17,16,United States of America,99500,7
DEV6994,<35,PhD,Man,No,NotDev,9,6,United Kingdom of Great Britain and Northern Ireland,47826,4
DEV6995,>35,Undergraduate,Man,No,Dev,30,27,United States of America,120000,10
DEV6996,<35,Master,Man,No,Dev,14,9,United States of America,105000,17
DEV6997,>35,Undergraduate,Man,No,Dev,15,9,South Korea,57848,21
DEV6998,>35,Undergraduate,Man,No,NotDev,26,20,Canada,98321,9
DEV6999,>35,Undergraduate,Man,No,Dev,9,7,United States of America,98100,14
DEV7000,<35,Undergraduate,Man,No,Dev,4,2,Germany,81074,10
DEV7001,<35,Master,Man,No,Dev,13,7,United Kingdom of Great Britain and Northern Ireland,193889,14
DEV7002,<35,Undergraduate,Man,No,Dev,6,2,United States of America,114000,7
DEV7003,>35,Undergraduate,Man,No,Dev,21,13,Germany,54049,20
DEV7004,>35,Other,Man,No,Dev,35,25,United States of America,175000,21
DEV7005,<35,Undergraduate,Man,No,Dev,7,4,United States of America,135000,6
DEV7006,>35,Undergraduate,Man,No,Dev,35,20,Canada,60505,10
DEV7007,>35,Other,Man,Yes,Dev,30,25,United States of America,150000,14
DEV7008,>35,Other,Man,No,Dev,10,9,United Kingdom of Great Britain and Northern Ireland,46921,7
DEV7009,>35,PhD,Man,Yes,Dev,20,14,United States of America,190000,15
DEV7010,<35,PhD,Man,No,Dev,7,6,United States of America,205000,6
DEV7011,<35,Other,Man,No,Dev,2,0,United States of America,100000,2
DEV7012,>35,Undergraduate,Man,No,Dev,25,20,United States of America,120000,13
DEV7013,>35,Master,Man,No,Dev,18,13,Canada,98321,12
DEV7014,<35,Undergraduate,Man,Yes,Dev,7,0,United States of America,75000,14
DEV7015,<35,Undergraduate,Man,No,Dev,19,11,United States of America,175000,14
DEV7016,>35,Undergraduate,Man,No,NotDev,25,21,United States of America,140000,7
DEV7017,<35,Master,Man,Yes,Dev,15,10,United States of America,152000,6
DEV7018,<35,Undergraduate,Woman,No,Dev,9,4,Canada,60505,12
DEV7019,>35,Other,Man,No,Dev,10,6,United States of America,100000,17
DEV7020,<35,Undergraduate,Man,Yes,NotDev,5,4,United States of America,104000,19
DEV7021,<35,Other,Man,Yes,Dev,11,6,Germany,58373,21
DEV7022,<35,Undergraduate,Man,No,Dev,6,2,United States of America,87800,25
DEV7023,>35,Master,Woman,No,Dev,30,28,United States of America,150000,11
DEV7024,>35,Master,Man,Yes,Dev,13,13,United States of America,115000,8
DEV7025,<35,Other,Man,Yes,Dev,8,2,United States of America,30000,10
DEV7026,>35,Other,Man,No,Dev,41,41,United States of America,130000,7
DEV7027,>35,Undergraduate,Man,Yes,Dev,29,23,United States of America,120000,5
DEV7028,<35,Undergraduate,Man,No,Dev,10,6,Canada,124792,14
DEV7029,<35,Undergraduate,Man,No,Dev,6,0,United States of America,110000,7
DEV7030,<35,Master,Woman,No,Dev,8,5,United States of America,99968,17
DEV7031,>35,Undergraduate,Man,No,Dev,36,32,United States of America,120000,5
DEV7032,<35,Undergraduate,Man,No,Dev,16,11,United States of America,102000,11
DEV7033,>35,Other,Woman,Yes,Dev,22,22,United States of America,120000,8
DEV7034,<35,Undergraduate,Woman,No,Dev,8,2,United States of America,210000,10
DEV7035,<35,Undergraduate,Man,No,Dev,9,3,United States of America,126200,16
DEV7036,<35,Other,Man,No,Dev,2,0,India,840,7
DEV7037,>35,Master,Man,No,Dev,20,10,Canada,52942,19
DEV7038,<35,Master,Man,No,Dev,13,8,India,23735,11
DEV7039,>35,Other,Man,No,Dev,27,24,Japan,62950,29
DEV7040,<35,Undergraduate,Man,No,Dev,8,0,United States of America,90000,9
DEV7041,>35,PhD,Man,No,Dev,20,10,Germany,140527,9
DEV7042,<35,Undergraduate,Man,No,Dev,7,2,United States of America,80000,8
DEV7043,>35,Undergraduate,Man,No,Dev,31,25,United States of America,220000,5
DEV7044,>35,NoHigherEd,Man,No,NotDev,0,0,United Kingdom of Great Britain and Northern Ireland,3108,15
DEV7045,>35,Other,Man,Yes,Dev,15,10,United States of America,79815,10
DEV7046,<35,Other,Woman,Yes,Dev,11,6,United States of America,69000,25
DEV7047,>35,Undergraduate,Man,No,Dev,22,20,Japan,58454,40
DEV7048,<35,Undergraduate,Man,Yes,Dev,9,3,United States of America,98000,9
DEV7049,>35,Master,Man,No,Dev,14,12,United States of America,85000,12
DEV7050,<35,Undergraduate,Man,No,Dev,12,8,Canada,143699,10
DEV7051,<35,Master,Man,No,Dev,6,4,India,7032,11
DEV7052,<35,Undergraduate,Man,Yes,Dev,15,6,United States of America,110000,15
DEV7053,<35,Undergraduate,Man,No,NotDev,2,0,United States of America,70000,18
DEV7054,>35,Other,Man,Yes,Dev,18,15,United Kingdom of Great Britain and Northern Ireland,80141,25
DEV7055,<35,Undergraduate,Man,No,Dev,13,7,Germany,108098,29
DEV7056,<35,Undergraduate,Man,No,Dev,13,10,United States of America,75000,22
DEV7057,<35,Undergraduate,Man,No,Dev,7,2,United States of America,80000,29
DEV7058,<35,Undergraduate,Man,No,Dev,5,4,South Korea,26160,11
DEV7059,<35,Other,Man,No,Dev,5,4,United States of America,76000,28
DEV7060,<35,PhD,NonBinary,No,Dev,20,8,United States of America,167000,27
DEV7061,>35,Other,Man,No,Dev,30,20,Canada,50673,13
DEV7062,>35,Other,Man,No,Dev,35,30,United States of America,130000,0
DEV7063,>35,Master,Man,Yes,Dev,20,15,Japan,84983,13
DEV7064,>35,Undergraduate,Man,No,Dev,31,20,United States of America,142000,25
DEV7065,<35,Master,Man,Yes,Dev,10,4,United States of America,31000,4
DEV7066,<35,Undergraduate,Man,No,Dev,14,7,United States of America,160000,21
DEV7067,>35,PhD,Man,No,Dev,35,25,United States of America,40000,10
DEV7068,<35,Undergraduate,Man,No,Dev,5,2,United States of America,60000,11
DEV7069,<35,Undergraduate,Man,No,Dev,10,6,United States of America,85000,15
DEV7070,<35,Undergraduate,Man,No,Dev,10,1,United Kingdom of Great Britain and Northern Ireland,45241,14
DEV7071,<35,Undergraduate,Man,No,Dev,3,2,United States of America,90000,6
DEV7072,>35,Master,Man,No,Dev,21,16,United States of America,205000,11
DEV7073,<35,Undergraduate,Man,No,Dev,6,2,South Korea,35208,12
DEV7074,<35,Undergraduate,Man,No,Dev,5,5,India,18150,14
DEV7075,<35,Undergraduate,Man,No,Dev,15,9,United States of America,120000,21
DEV7076,<35,Other,Man,No,Dev,6,6,United States of America,120000,25
DEV7077,>35,Undergraduate,Man,No,NotDev,6,4,United States of America,69000,21
DEV7078,>35,Undergraduate,Man,No,Dev,21,13,Germany,54049,8
DEV7079,>35,Undergraduate,Man,Yes,Dev,40,33,United States of America,175000,14
DEV7080,<35,Undergraduate,NonBinary,No,Dev,7,3,Canada,30852,13
DEV7081,>35,Master,Man,No,Dev,27,19,Japan,107915,23
DEV7082,<35,Other,Man,Yes,Dev,20,13,United States of America,200000,21
DEV7083,>35,Undergraduate,Man,No,Dev,10,5,South Korea,50303,27
DEV7084,>35,Undergraduate,Man,No,Dev,5,3,South Korea,35212,15
DEV7085,>35,Undergraduate,Man,No,Dev,35,29,Canada,65043,11
DEV7086,<35,Undergraduate,Man,No,Dev,6,4,United States of America,90000,20
DEV7087,>35,PhD,Man,No,NotDev,28,5,United States of America,120000,9
DEV7088,<35,Undergraduate,Man,No,Dev,19,12,Germany,90804,29
DEV7089,>35,Master,Man,No,Dev,27,20,Canada,151250,18
DEV7090,>35,Undergraduate,Man,No,Dev,10,6,Canada,79413,9
DEV7091,>35,Master,Man,No,Dev,19,15,Canada,79,13
DEV7092,<35,Undergraduate,Man,No,Dev,5,4,India,20244,9
DEV7093,<35,Master,Man,No,Dev,7,5,Canada,84707,19
DEV7094,<35,Undergraduate,Man,No,Dev,1,0,United States of America,80000,17
DEV7095,<35,Undergraduate,Man,Yes,Dev,6,2,Canada,100000,11
DEV7096,<35,Master,Man,No,Dev,9,1,United States of America,150000,16
DEV7097,>35,Undergraduate,Man,No,Dev,21,20,South Korea,66396,23
DEV7098,<35,Undergraduate,Man,No,Dev,13,9,India,27984,10
DEV7099,>35,Other,Man,Yes,NotDev,14,14,United Kingdom of Great Britain and Northern Ireland,96945,16
DEV7100,<35,PhD,Man,Yes,NotDev,11,3,United States of America,53000,2
DEV7101,<35,Undergraduate,Man,No,Dev,7,3,United States of America,105000,23
DEV7102,<35,NoHigherEd,Man,Yes,Dev,16,11,United States of America,150000,18
DEV7103,>35,Undergraduate,Man,No,Dev,40,30,Canada,75631,10
DEV7104,<35,Other,Woman,Yes,Dev,14,2,Canada,49160,15
DEV7105,>35,Other,Man,No,Dev,33,13,Japan,152879,20
DEV7106,<35,Undergraduate,Man,No,Dev,10,7,Canada,132355,12
DEV7107,>35,NoHigherEd,Man,No,Dev,24,23,United States of America,85000,26
DEV7108,>35,Other,Man,No,Dev,21,17,India,41885,25
DEV7109,>35,Master,Man,No,Dev,22,13,United States of America,90000,7
DEV7110,<35,Undergraduate,Man,No,Dev,5,2,India,4020,17
DEV7111,<35,Undergraduate,Man,No,NotDev,6,4,Japan,26979,4
DEV7112,>35,Undergraduate,Man,No,Dev,23,12,United States of America,155000,15
DEV7113,>35,Undergraduate,Man,No,Dev,25,16,India,8376,8
DEV7114,<35,Undergraduate,Man,No,Dev,8,2,Canada,47270,11
DEV7115,<35,Undergraduate,Man,No,Dev,5,4,United States of America,160000,15
DEV7116,<35,Undergraduate,Man,No,Dev,9,4,United States of America,100000,14
DEV7117,<35,Undergraduate,Woman,No,Dev,13,9,Canada,60505,10
DEV7118,<35,Undergraduate,Man,No,Dev,18,9,United States of America,185000,26
DEV7119,<35,Undergraduate,Man,No,Dev,15,9,United Kingdom of Great Britain and Northern Ireland,103408,27
DEV7120,>35,Master,Man,Yes,Dev,12,10,United States of America,50000,15
DEV7121,<35,NoHigherEd,Man,Yes,Dev,3,1,Canada,31764,20
DEV7122,<35,Undergraduate,Man,No,Dev,11,3,United States of America,82000,15
DEV7123,>35,Master,Man,No,Dev,26,18,South Korea,45276,6
DEV7124,<35,Undergraduate,Man,No,Dev,7,7,United States of America,105000,26
DEV7125,>35,Master,Man,No,Dev,6,10,United States of America,100000,14
DEV7126,<35,Master,Man,No,Dev,10,4,United States of America,150000,13
DEV7127,>35,Undergraduate,Man,No,NotDev,40,32,United States of America,92000,18
DEV7128,<35,Master,Man,No,Dev,13,7,India,19546,11
DEV7129,>35,Other,Man,Yes,Dev,37,21,United States of America,150000,6
DEV7130,<35,Master,Man,No,Dev,8,7,India,21780,11
DEV7131,<35,Master,Woman,No,Dev,7,3,United States of America,100000,12
DEV7132,<35,Undergraduate,Man,No,Dev,5,3,India,62828,10
DEV7133,>35,Undergraduate,Man,Yes,Dev,8,6,United States of America,210000,12
DEV7134,<35,Undergraduate,Man,No,Dev,13,9,India,13404,17
DEV7135,<35,Master,Man,No,Dev,10,10,India,12566,14
DEV7136,<35,Undergraduate,Man,No,Dev,10,6,India,26527,17
DEV7137,>35,Master,Man,No,Dev,8,0,India,10560,6
DEV7138,<35,Master,Man,No,Dev,6,2,United States of America,105000,10
DEV7139,<35,Undergraduate,Man,No,Dev,10,7,India,24224,13
DEV7140,<35,Undergraduate,Man,Yes,Dev,7,3,India,3348,10
DEV7141,<35,Undergraduate,Man,Yes,Dev,10,5,United States of America,12000,15
DEV7142,<35,Undergraduate,Man,No,Dev,6,3,India,5585,11
DEV7143,>35,PhD,Man,No,NotDev,20,15,United States of America,86000,14
DEV7144,<35,Master,Man,No,Dev,6,5,India,14244,12
DEV7145,>35,Undergraduate,Man,No,Dev,49,40,United States of America,170000,4
DEV7146,<35,Undergraduate,Man,No,Dev,12,7,United States of America,140000,14
DEV7147,>35,NoHigherEd,Man,No,Dev,35,27,United States of America,124000,9
DEV7148,<35,Undergraduate,Man,No,Dev,10,5,India,15084,10
DEV7149,<35,Undergraduate,Man,No,Dev,12,9,India,9216,21
DEV7150,<35,NoHigherEd,Man,Yes,Dev,20,10,United States of America,2000,17
DEV7151,<35,Undergraduate,Man,No,Dev,17,2,United States of America,129000,20
DEV7152,<35,Master,Man,No,Dev,14,9,Japan,71943,23
DEV7153,<35,Undergraduate,Man,Yes,Dev,18,10,United States of America,39600,13
DEV7154,>35,Master,Man,Yes,Dev,30,22,United States of America,180000,15
DEV7155,>35,Undergraduate,Man,No,Dev,5,3,United States of America,92000,17
DEV7156,<35,Undergraduate,Man,No,Dev,3,3,India,7190,8
DEV7157,<35,Undergraduate,Man,No,NotDev,15,7,United States of America,138000,12
DEV7158,>35,Master,Man,No,Dev,14,12,United States of America,200000,18
DEV7159,<35,Undergraduate,Man,No,Dev,4,4,India,21278,8
DEV7160,<35,Undergraduate,Man,No,Dev,8,5,India,150792,6
DEV7161,<35,Undergraduate,Man,No,Dev,7,6,United States of America,200000,19
DEV7162,>35,Undergraduate,Man,No,Dev,38,27,United States of America,180000,15
DEV7163,>35,Undergraduate,Man,No,Dev,20,20,United States of America,150000,22
DEV7164,<35,Master,Man,Yes,Dev,10,3,United States of America,140000,18
DEV7165,<35,Undergraduate,Man,No,Dev,18,11,India,27923,11
DEV7166,<35,Undergraduate,Man,No,NotDev,6,2,India,9773,11
DEV7167,>35,Master,Man,No,Dev,15,10,India,60000,11
DEV7168,<35,Undergraduate,Man,Yes,Dev,6,3,United States of America,103000,19
DEV7169,<35,Undergraduate,Man,Yes,Dev,4,0,India,3684,5
DEV7170,<35,Master,Man,No,Dev,5,3,Germany,54049,9
DEV7171,<35,Undergraduate,Man,No,NotDev,15,1,India,8377,7
DEV7172,<35,Master,Man,No,Dev,7,6,India,13962,13
DEV7173,<35,Undergraduate,Man,No,Dev,4,4,United States of America,215000,14
DEV7174,>35,Master,Man,No,Dev,6,5,United States of America,175000,24
DEV7175,<35,Undergraduate,Man,No,Dev,3,1,United States of America,40000,12
DEV7176,<35,Undergraduate,Man,No,Dev,5,2,India,3012,15
DEV7177,<35,Undergraduate,Man,No,Dev,10,6,India,21641,16
DEV7178,<35,NoHigherEd,Man,No,Dev,6,2,South Korea,26828,20
DEV7179,>35,Master,Man,No,Dev,40,30,United States of America,150000,20
DEV7180,<35,Other,Man,No,Dev,9,3,India,9075,16
DEV7181,>35,Undergraduate,Man,No,Dev,25,25,United States of America,150000,15
DEV7182,>35,Undergraduate,Man,No,Dev,40,30,United States of America,140000,5
DEV7183,>35,Master,Man,No,Dev,6,0,United States of America,180000,3
DEV7184,<35,Undergraduate,Man,No,Dev,18,6,United States of America,115000,31
DEV7185,<35,Other,Man,No,Dev,18,12,Japan,53957,11
DEV7186,<35,Undergraduate,Man,No,Dev,10,8,India,27923,7
DEV7187,<35,Master,Man,No,Dev,9,4,India,24084,14
DEV7188,>35,Undergraduate,Man,No,Dev,14,9,India,5028,5
DEV7189,<35,Undergraduate,Man,No,Dev,14,9,India,69000,21
DEV7190,<35,Master,Man,No,Dev,7,2,India,3012,7
DEV7191,<35,Undergraduate,Man,No,Dev,8,6,India,23037,9
DEV7192,<35,Undergraduate,Man,No,Dev,13,8,United States of America,105000,14
DEV7193,<35,Master,Man,No,Dev,12,4,Japan,21588,9
DEV7194,<35,Undergraduate,Man,Yes,Dev,6,0,Canada,43110,25
DEV7195,<35,Undergraduate,Woman,No,Dev,9,4,India,6036,14
DEV7196,<35,Undergraduate,Man,No,Dev,5,4,India,16080,4
DEV7197,<35,Undergraduate,Man,No,Dev,15,7,United States of America,125000,10
DEV7198,<35,Undergraduate,Man,No,Dev,9,5,India,9216,15
DEV7199,<35,Undergraduate,Man,No,Dev,7,5,India,8377,12
DEV7200,<35,Other,Man,No,Dev,21,15,Germany,88640,19
DEV7201,<35,Undergraduate,Man,No,Dev,17,12,United States of America,150000,14
DEV7202,<35,Undergraduate,Man,No,Dev,11,2,Canada,60505,21
DEV7203,<35,Undergraduate,Man,Yes,Dev,10,4,India,23037,3
DEV7204,<35,Master,NonBinary,No,Dev,18,13,Japan,50,10
DEV7205,<35,Master,Man,No,Dev,6,6,India,5868,5
DEV7206,<35,NoHigherEd,Man,No,Dev,4,1,Germany,41508,14
DEV7207,<35,Undergraduate,Man,No,Dev,13,8,India,16752,9
DEV7208,>35,Master,Man,No,Dev,15,13,Germany,35028,7
DEV7209,<35,Undergraduate,Man,Yes,Dev,7,3,India,3516,18
DEV7210,<35,Undergraduate,Man,No,Dev,4,0,India,2508,12
DEV7211,>35,Other,Man,No,NotDev,41,28,United States of America,197000,23
DEV7212,>35,Master,Man,No,Dev,35,25,Germany,71340,10
DEV7213,<35,Master,Man,No,Dev,13,3,United States of America,190000,12
DEV7214,>35,Other,Man,Yes,Dev,25,11,Germany,45396,14
DEV7215,<35,Undergraduate,Man,No,Dev,6,4,India,5028,7
DEV7216,<35,Undergraduate,Man,No,Dev,3,1,India,6696,14
DEV7217,>35,PhD,Woman,No,NotDev,30,12,Germany,70044,5
DEV7218,<35,Undergraduate,Man,No,Dev,8,4,United States of America,65000,28
DEV7219,<35,Undergraduate,Man,No,Dev,7,3,India,3516,13
DEV7220,>35,Undergraduate,Man,No,Dev,30,25,United Kingdom of Great Britain and Northern Ireland,46533,6
DEV7221,<35,Undergraduate,Man,No,Dev,11,1,Canada,34034,10
DEV7222,>35,Master,Man,No,Dev,26,11,Germany,81074,23
DEV7223,>35,Undergraduate,NonBinary,No,Dev,23,21,India,8376,13
DEV7224,<35,Undergraduate,Man,No,NotDev,4,1,India,11728,9
DEV7225,<35,Undergraduate,Man,No,Dev,8,6,United States of America,96000,31
DEV7226,>35,Other,Man,No,Dev,35,25,Germany,97284,17
DEV7227,>35,Master,Man,No,Dev,20,14,India,33508,24
DEV7228,>35,Undergraduate,Man,No,Dev,10,10,United Kingdom of Great Britain and Northern Ireland,148648,10
DEV7229,<35,Master,Man,No,Dev,6,4,Germany,70264,14
DEV7230,>35,Undergraduate,Man,No,Dev,43,39,United States of America,180000,12
DEV7231,<35,Undergraduate,Man,No,Dev,7,4,India,23735,12
DEV7232,<35,NoHigherEd,Man,No,Dev,8,5,Germany,77832,10
DEV7233,<35,Master,Man,No,Dev,10,8,India,8377,15
DEV7234,<35,Undergraduate,Man,No,Dev,5,0,India,13962,30
DEV7235,>35,PhD,Man,No,Dev,20,15,Canada,98321,8
DEV7236,<35,Undergraduate,Man,No,Dev,13,7,United States of America,197800,18
DEV7237,<35,Other,Man,No,Dev,11,7,Germany,48644,18
DEV7238,<35,Undergraduate,Man,Yes,Dev,13,7,India,19440,13
DEV7239,<35,Undergraduate,Man,No,Dev,7,5,India,16754,23
DEV7240,<35,Undergraduate,Man,No,Dev,9,9,India,51658,30
DEV7241,<35,Undergraduate,Man,No,Dev,5,2,India,5585,26
DEV7242,>35,Master,Man,No,Dev,20,15,Germany,81720,13
DEV7243,>35,Master,Man,No,Dev,30,25,Germany,75669,10
DEV7244,<35,Undergraduate,Woman,No,Dev,6,1,Germany,54049,5
DEV7245,<35,Master,Man,No,Dev,15,7,Germany,64859,8
DEV7246,<35,Master,Man,No,Dev,4,2,United Kingdom of Great Britain and Northern Ireland,51704,4
DEV7247,<35,Master,Man,No,Dev,13,2,India,27923,20
DEV7248,<35,Master,Man,No,Dev,5,1,Germany,73507,2
DEV7249,>35,NoHigherEd,Man,No,NotDev,0,2,Japan,44965,9
DEV7250,>35,Master,Man,No,Dev,10,7,Germany,35676,16
DEV7251,>35,Undergraduate,Man,Yes,Dev,20,8,United States of America,150000,19
DEV7252,<35,Undergraduate,Man,No,Dev,7,3,India,9215,13
DEV7253,<35,Undergraduate,Man,No,Dev,17,12,United Kingdom of Great Britain and Northern Ireland,98108,11
DEV7254,<35,Master,Man,No,NotDev,13,8,India,11169,4
DEV7255,<35,Master,Man,No,Dev,20,11,United Kingdom of Great Britain and Northern Ireland,25944,13
DEV7256,<35,Undergraduate,Man,No,Dev,12,6,India,33508,12
DEV7257,>35,Master,Man,No,Dev,28,20,Canada,154284,11
DEV7258,<35,Undergraduate,Man,No,Dev,10,6,India,34848,8
DEV7259,<35,Master,Man,No,Dev,14,9,India,46074,10
DEV7260,<35,Undergraduate,Man,No,Dev,4,2,India,8376,11
DEV7261,>35,NoHigherEd,Man,Yes,Dev,16,6,Germany,32424,12
DEV7262,>35,NoHigherEd,Man,No,Dev,38,12,Germany,97548,27
DEV7263,<35,Undergraduate,Man,No,Dev,8,7,India,13962,20
DEV7264,<35,Master,Man,No,Dev,8,5,India,16752,11
DEV7265,<35,Master,Man,No,Dev,8,8,Germany,54049,26
DEV7266,<35,Master,Woman,No,Dev,15,7,India,6696,8
DEV7267,<35,Undergraduate,Woman,Yes,Dev,15,1,Canada,56723,15
DEV7268,<35,Undergraduate,Man,No,Dev,6,0,India,5580,22
DEV7269,<35,Undergraduate,Man,No,Dev,26,10,United Kingdom of Great Britain and Northern Ireland,82080,6
DEV7270,<35,Undergraduate,Man,No,Dev,12,9,India,25128,19
DEV7271,<35,Undergraduate,Man,No,Dev,7,3,India,28824,18
DEV7272,>35,Undergraduate,Man,No,Dev,16,12,Germany,73507,12
DEV7273,<35,Undergraduate,Man,Yes,Dev,12,3,United States of America,105000,10
DEV7274,<35,Other,Man,Yes,Dev,5,3,Germany,32424,14
DEV7275,>35,Master,Man,No,Dev,25,21,India,69809,18
DEV7276,>35,Undergraduate,Man,No,NotDev,15,10,South Korea,67068,17
DEV7277,<35,Master,Man,No,Dev,13,6,Germany,97288,5
DEV7278,<35,Undergraduate,Man,No,Dev,11,7,India,201048,14
DEV7279,<35,Undergraduate,Man,No,Dev,18,7,Germany,64859,9
DEV7280,>35,Master,Man,No,Dev,25,15,Germany,81074,22
DEV7281,<35,Undergraduate,Man,No,Dev,4,4,India,13962,6
DEV7282,<35,Undergraduate,Man,No,Dev,7,6,India,18150,7
DEV7283,>35,PhD,Man,No,Dev,25,5,United States of America,160000,8
DEV7284,>35,Other,Man,Yes,NotDev,23,10,United States of America,133000,31
DEV7285,<35,Undergraduate,Man,No,Dev,8,6,India,38532,10
DEV7286,<35,NoHigherEd,Man,No,Dev,5,1,Germany,43239,8
DEV7287,<35,Undergraduate,Man,No,NotDev,8,4,India,27923,18
DEV7288,>35,Other,Man,No,Dev,24,24,Canada,113447,8
DEV7289,<35,Undergraduate,Man,No,Dev,8,0,India,4887,7
DEV7290,<35,Undergraduate,Man,No,Dev,12,10,India,39093,16
DEV7291,<35,Undergraduate,Man,No,Dev,8,6,India,16754,13
DEV7292,<35,Undergraduate,Man,No,Dev,6,2,India,62828,3
DEV7293,>35,Undergraduate,Man,Yes,Dev,44,31,United Kingdom of Great Britain and Northern Ireland,84019,9
DEV7294,<35,Master,Man,No,Dev,18,9,Germany,60972,20
DEV7295,<35,Undergraduate,Man,No,Dev,7,4,India,11169,19
DEV7296,>35,Undergraduate,Man,No,Dev,4,3,Japan,43166,10
DEV7297,<35,Master,Man,No,Dev,14,4,Germany,56211,13
DEV7298,>35,Other,Man,No,NotDev,25,6,Germany,67021,12
DEV7299,<35,Undergraduate,Man,No,NotDev,1,5,India,20943,11
DEV7300,>35,Master,Man,No,Dev,32,17,Germany,61616,20
DEV7301,<35,Undergraduate,Man,No,Dev,4,3,India,27923,12
DEV7302,<35,Undergraduate,Man,No,Dev,5,4,India,17450,26
DEV7303,<35,Undergraduate,Man,Yes,Dev,10,6,India,16754,5
DEV7304,<35,Master,Man,Yes,Dev,5,2,India,3180,12
DEV7305,<35,Undergraduate,Man,No,Dev,7,3,India,9773,10
DEV7306,<35,Undergraduate,Man,No,Dev,7,2,India,11728,13
DEV7307,<35,Undergraduate,Man,No,Dev,4,0,United Kingdom of Great Britain and Northern Ireland,38778,14
